1. Process Name: System Idle Process, PID: 0, Username: NT AUTHORITY\SYSTEM
266. Process Name: chrome.exe, PID: 23428, Username: SHANTANU\lenovo
267. Process Name: OpenConsole.exe, PID: 23500, Username: SHANTANU\lenovo
268. Process Name: svchost.exe, PID: 23644, Username: SHANTANU\lenovo
269. Process Name: Code.exe, PID: 23948, Username: SHANTANU\lenovo
270. Process Name: conhost.exe, PID: 24104, Username: SHANTANU\lenovo
271. Process Name: SearchIndexer.exe, PID: 24268, Username: None
272. Process Name: Widgets.exe, PID: 24288, Username: SHANTANU\lenovo
273. Process Name: conhost.exe, PID: 24292, Username: SHANTANU\lenovo
274. Process Name: LenovoVantage-(SettingsWidgetAddin).exe, PID: 24396, Username: SHANTANU\lenovo
275. Process Name: FaceBeautify.exe, PID: 24436, Username: None
276. Process Name: brave.exe, PID: 24488, Username: SHANTANU\lenovo
277. Process Name: ipf_helper.exe, PID: 24508, Username: SHANTANU\lenovo
